prefecture,name,address
神奈川県,モーリーファンタジー向ケ丘,神奈川県川崎市多摩区登戸２７８９
神奈川県,イトーヨーカドー武蔵小杉駅前,神奈川県川崎市中原区小杉町３－４２０玩具売場
神奈川県,イトーヨーカドーグランツリー武蔵小杉,神奈川県川崎市中原区新丸子東3丁目1135番地1号
神奈川県,ウェアハウス川崎,神奈川県川崎市日進町３－７　２Ｆ
神奈川県,イオン新百合丘,神奈川県川崎市麻生区上麻生１－１９玩具売場
神奈川県,イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生１－４－１玩具売場
神奈川県,イトーヨーカドー古淵,神奈川県相模原市古淵３－１３－３３玩具売場
神奈川県,ドラマ淵野辺,神奈川県相模原市中央区共和4-2-16
神奈川県,ジョーシン相模原小山,神奈川県相模原市中央区小山３－３７－１
神奈川県,モーリーファンタジー相模原小山,神奈川県相模原市中央区小山３－３７－１相模原小山モール２Ｆ
神奈川県,モーリーファンタジーイオン相模原,神奈川県相模原市南区古淵２－１０－１イオンＳＣ3階
神奈川県,セガワールド古淵,神奈川県相模原市南区古淵３－１３－３３　イトーヨーカドー３Ｆ
神奈川県,イトーヨーカドー相模原,神奈川県相模原市南区松が枝町１７－１玩具売場
神奈川県,キッズトレイン相模原,神奈川県相模原市南区松ヶ枝町１７－１
神奈川県,ビックカメラ相模大野駅店,神奈川県相模原市南区相模大野３－８－１相模大野ステーションスクエアＢ館
神奈川県,ニコパニトリモール相模原店,神奈川県相模原市南区大野台６－１－１ニトリモール相模原３Ｆ
神奈川県,アドアーズ橋本,神奈川県相模原市緑区橋本３－３－１ＳＩＮＧ橋本２Ｆ
神奈川県,イオン橋本,神奈川県相模原市緑区橋本６－２－１玩具売場
神奈川県,アピナ橋本,神奈川県相模原市緑区西橋本５－１－１ラ・フロール駐車場棟１階
神奈川県,イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町１ー２２玩具売場
神奈川県,エブリデイＦＵＮハウスこころっこ橋本,神奈川県相模原市緑区大山町１－２２アリオ橋本店内２階
神奈川県,イトーヨーカドー大和鶴間,神奈川県大和市下鶴間１－３－１玩具売場
神奈川県,モーリーファンタジー大和鶴間,神奈川県大和市下鶴間一丁目２番１号イオン３Ｆ
神奈川県,プレイランド大和鶴間,神奈川県大和市下鶴間一丁目３－１　イトーヨーカドー大和鶴間店３Ｆ
神奈川県,モーリーファンタジー大和,神奈川県大和市下和田字上ノ原1216-1　イオン3F
神奈川県,ヤマダ電機テックランドNEW大和深見,神奈川県大和市深見台1-1
神奈川県,ハローズガーデン湘南,神奈川県藤沢市遠藤６９８－１０　湘南とうきゅうショッピングセンター　２Ｆ
神奈川県,イトーヨーカドー藤沢,神奈川県藤沢市鵠沼石上１－１０－１玩具売場
神奈川県,イトーヨーカドー湘南台,神奈川県藤沢市石川６－２－１玩具売場
神奈川県,楽市楽座湘南藤沢,神奈川県藤沢市辻堂新町４丁目３番５号ミスターマックス湘南藤沢ＳＣ２階
神奈川県,ＳＯＹＵＧａｍｅＦｉｅｌｄ湘南,神奈川県藤沢市辻堂新町四丁目１番１号　湘南モールＦＩＬＬ２Ｆ
神奈川県,ビックカメラ藤沢,神奈川県藤沢市藤沢５５９増田ビル遊行通り共同ビル　玩具売り場
神奈川県,タイトーステーション藤沢,神奈川県藤沢市南藤沢２１－１
神奈川県,ドラマ藤沢,神奈川県藤沢市本藤沢５－６－８
神奈川県,ピアゴ大雄山,神奈川県南足柄市関本５６９番地　玩具売場
神奈川県,ＹＡＺ平塚,神奈川県平塚市田村１－４－２６
神奈川県,西友平塚,神奈川県平塚市東中原１－１－２５　玩具売場
神奈川県,ラウンドワンららぽーと湘南平塚,神奈川県平塚市天沼１０－１　３階
